status,screen,row,click_x,click_y,chars,hash,title,docx_file,txt_file,error
DUPLICATE,2,18,1530,744,1515,ffbe50d934397add404d90a9f56723df,,,,
DUPLICATE,3,1,1530,268,4095,76cc2df2a5f533b2dcc17ed188136043,,,,
DUPLICATE,3,2,1530,296,1488,afb5218dbe51cef259c8db5bf262e88d,,,,
OK,3,3,1530,324,1837,57de6b6647821745c0b5ca3357adf2e8,البدء :,C:\EladalahExport\docs_full\s0003-r03-57de6b6647-البدء.docx,C:\EladalahExport\txt_full\s0003-r03-57de6b6647-البدء.txt,
DUPLICATE,3,4,1530,352,1689,82f8bcaf2dffb1bbd068dd9fa2b3ef00,,,,
DUPLICATE,3,5,1530,380,1517,a21f73f66cd8a1c09824d5f36cd6dcad,,,,
DUPLICATE,3,6,1530,408,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,,,,
DUPLICATE,3,7,1530,436,4095,6b5cb9a3670eed34b8aa1bcab7f4534a,,,,
DUPLICATE,3,8,1530,464,669,9b261582dfa056a2a30ae33835f0d60a,,,,
DUPLICATE,3,9,1530,492,4094,0853447bfafd91d23f7a4c91db3bb3a2,,,,
DUPLICATE,3,10,1530,520,4094,0853447bfafd91d23f7a4c91db3bb3a2,,,,
DUPLICATE,3,11,1530,548,4094,8920bb532bfbda6c8eeb3d9f3cec5017,,,,
DUPLICATE,3,12,1530,576,4095,55aec5133272a67f334d704f78f7d227,,,,
DUPLICATE,3,13,1530,604,4093,4317923aaba8459e1ecc7a2a4aed647f,,,,
DUPLICATE,3,14,1530,632,3317,27f2897f30862293cf3cda93d238d2c6,,,,
DUPLICATE,3,15,1530,660,1570,8f2fb46f201a4fe1af537035344f473e,,,,
DUPLICATE,3,16,1530,688,1388,8e93867f5b30092f19396dca0d23e76a,,,,
DUPLICATE,3,17,1530,716,4095,275f5866d717d78ad0d97f1a6af813e3,,,,
DUPLICATE,3,18,1530,744,1515,ffbe50d934397add404d90a9f56723df,,,,
DUPLICATE,4,1,1530,268,4095,76cc2df2a5f533b2dcc17ed188136043,,,,
DUPLICATE,4,2,1530,296,1488,afb5218dbe51cef259c8db5bf262e88d,,,,
SKIP_SHORT,4,3,1530,324,0,,,,,too short
FAILED,4,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,4,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,1,1530,268,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,2,1530,296,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,3,1530,324,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,5,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,1,1530,268,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,2,1530,296,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,3,1530,324,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,6,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,1,1530,268,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,2,1530,296,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,3,1530,324,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,4,1530,352,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,5,1530,380,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,6,1530,408,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,7,1530,436,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,8,1530,464,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,9,1530,492,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,10,1530,520,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,11,1530,548,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,12,1530,576,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,13,1530,604,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,14,1530,632,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,15,1530,660,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,16,1530,688,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,17,1530,716,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
FAILED,7,18,1530,744,0,,,,,"(-2147024891, 'Access is denied.', (None, None, None, 0, None))"
